Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1068,FAC,15,MTL won Neu. Zone - TOR #42 BOZAK vs MTL #14 PLEKANEC,MONTREAL CANADIENS_14_TOMAS PLEKANEC,TORONTO MAPLE LEAFS_42_TYLER BOZAK,,,Neu. Zone,,,,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_36_CARL GUNNARSSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,702,1200,FAC,1068,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1055,FAC,18,MTL won Off. Zone - TOR #42 BOZAK vs MTL #14 PLEKANEC,MONTREAL CANADIENS_14_TOMAS PLEKANEC,TORONTO MAPLE LEAFS_42_TYLER BOZAK,,,Off. Zone,,,,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_4_CODY FRANSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,689,1200,FAC,1055,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1052,SHOT,19,MTL ONGOAL - #26 GORGES- Slap- Off. Zone- 50 ft.,MONTREAL CANADIENS_26_JOSH GORGES,,,,Off. Zone,Slap,,50,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_4_CODY FRANSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,31,-9,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,686,1200,SHOT,1052,1,0001,0,31,-9,33,-9,0,0,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1051,FAC,21,TOR won Def. Zone - TOR #42 BOZAK vs MTL #21 GIONTA,TORONTO MAPLE LEAFS_42_TYLER BOZAK,MONTREAL CANADIENS_21_BRIAN GIONTA,,,Def. Zone,,,,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_4_CODY FRANSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,,,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,685,1200,FAC,1051,1,0001,1,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1024,HIT,22,MTL #76 SUBBAN HIT TOR #42 BOZAK- Def. Zone,MONTREAL CANADIENS_76_P.K. SUBBAN,TORONTO MAPLE LEAFS_42_TYLER BOZAK,,,Def. Zone,,,,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_4_CODY FRANSON,TORONTO MAPLE LEAFS_51_JAKE GARDINER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,658,1200,HIT,1024,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1022,SHOT,23,TOR ONGOAL - #21 VAN RIEMSDYK- Backhand- Off. Zone- 35 ft.,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,,,,Off. Zone,Backhand,,35,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_4_CODY FRANSON,TORONTO MAPLE LEAFS_51_JAKE GARDINER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,77,-10,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,656,1200,SHOT,1022,1,0001,1,77,-10,78,-8,2,0,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1022,FAC,25,TOR won Off. Zone - TOR #43 KADRI vs MTL #51 DESHARNAIS,TORONTO MAPLE LEAFS_43_NAZEM KADRI,MONTREAL CANADIENS_51_DAVID DESHARNAIS,,,Off. Zone,,,,TORONTO MAPLE LEAFS_43_NAZEM KADRI,TORONTO MAPLE LEAFS_19_JOFFREY LUPUL,TORONTO MAPLE LEAFS_41_NIKOLAI KULEMIN,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_36_CARL GUNNARSSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_48_DANIEL BRIERE,MONTREAL CANADIENS_51_DAVID DESHARNAIS,MONTREAL CANADIENS_67_MAX PACIORETTY,MONTREAL CANADIENS_61_RAPHAEL DIAZ,MONTREAL CANADIENS_79_ANDREI MARKOV,MONTREAL CANADIENS_31_CAREY PRICE,,,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,656,1200,FAC,1022,1,0001,1,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1018,SHOT,26,TOR ONGOAL - #3 PHANEUF- Wrist- Off. Zone- 59 ft.,TORONTO MAPLE LEAFS_3_DION PHANEUF,,,,Off. Zone,Wrist,,59,TORONTO MAPLE LEAFS_43_NAZEM KADRI,TORONTO MAPLE LEAFS_19_JOFFREY LUPUL,TORONTO MAPLE LEAFS_41_NIKOLAI KULEMIN,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_36_CARL GUNNARSSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_48_DANIEL BRIERE,MONTREAL CANADIENS_51_DAVID DESHARNAIS,MONTREAL CANADIENS_67_MAX PACIORETTY,MONTREAL CANADIENS_61_RAPHAEL DIAZ,MONTREAL CANADIENS_79_ANDREI MARKOV,MONTREAL CANADIENS_31_CAREY PRICE,69,-22,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,652,1200,SHOT,1018,1,0001,1,69,-22,71,-15,2,-1,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1017,FAC,28,MTL won Def. Zone - TOR #41 KULEMIN vs MTL #51 DESHARNAIS,MONTREAL CANADIENS_51_DAVID DESHARNAIS,TORONTO MAPLE LEAFS_41_NIKOLAI KULEMIN,,,Def. Zone,,,,TORONTO MAPLE LEAFS_43_NAZEM KADRI,TORONTO MAPLE LEAFS_19_JOFFREY LUPUL,TORONTO MAPLE LEAFS_41_NIKOLAI KULEMIN,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_36_CARL GUNNARSSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_48_DANIEL BRIERE,MONTREAL CANADIENS_51_DAVID DESHARNAIS,MONTREAL CANADIENS_67_MAX PACIORETTY,MONTREAL CANADIENS_61_RAPHAEL DIAZ,MONTREAL CANADIENS_79_ANDREI MARKOV,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,651,1200,FAC,1017,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1007,TURN,29,MTL&nbsp;GIVEAWAY - #79 MARKOV- Def. Zone,MONTREAL CANADIENS_79_ANDREI MARKOV,,,,Def. Zone,,,,TORONTO MAPLE LEAFS_43_NAZEM KADRI,TORONTO MAPLE LEAFS_19_JOFFREY LUPUL,TORONTO MAPLE LEAFS_41_NIKOLAI KULEMIN,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_36_CARL GUNNARSSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_48_DANIEL BRIERE,MONTREAL CANADIENS_51_DAVID DESHARNAIS,MONTREAL CANADIENS_67_MAX PACIORETTY,MONTREAL CANADIENS_61_RAPHAEL DIAZ,MONTREAL CANADIENS_79_ANDREI MARKOV,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,0,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,641,1200,GIVE,1007,1,0001,0,,,,,,,0,0,
